business_date,delivery_charge,container_charge,service_charge,additional_charge,deduction_charge,total_sales
2026-05-01,150.0,31117.0,0.0,0.0,0.0,441002.0
2026-05-02,122.0,30757.0,0.0,0.0,0.0,434205.0
2026-05-03,400.0,36150.0,0.0,0.0,0.0,516293.0
2026-05-04,110.0,27857.0,0.0,0.0,0.0,401477.0
2026-05-05,339.0,37279.0,0.0,0.0,0.0,558886.0
2026-05-06,130.0,22810.0,0.0,0.0,0.0,322094.0
2026-05-07,89.0,32596.0,0.0,0.0,0.0,462727.0
2026-05-08,177.0,23858.0,0.0,0.0,0.0,333241.0
2026-05-09,479.0,34466.0,0.0,0.0,0.0,484018.0
2026-05-10,60.0,43461.0,0.0,0.0,0.0,609457.0
2026-05-11,0.0,29016.0,0.0,0.0,0.0,415466.0
2026-05-12,298.0,36385.0,0.0,0.0,0.0,531068.0
2026-05-13,70.0,28463.0,0.0,0.0,0.0,430405.0
2026-05-14,580.0,33369.0,0.0,0.0,0.0,485430.0
2026-05-15,377.0,23933.0,0.0,0.0,0.0,343229.0
2026-05-16,313.0,35305.0,0.0,0.0,0.0,520536.0
2026-05-17,0.0,38274.0,0.0,0.0,0.0,561994.0
2026-05-18,190.0,28357.0,0.0,0.0,0.0,414464.0
2026-05-19,257.0,33959.0,0.0,0.0,0.0,491493.0
2026-05-20,0.0,24434.0,0.0,0.0,0.0,352719.0
2026-05-21,824.0,33694.0,0.0,0.0,0.0,496593.0
2026-05-22,567.0,24318.0,0.0,0.0,0.0,364168.0
2026-05-23,342.0,35229.0,0.0,0.0,0.0,531224.0
2026-05-24,453.0,38219.0,0.0,0.0,0.0,565996.0
2026-05-25,547.0,29976.0,0.0,0.0,0.0,444399.0
2026-05-26,145.0,31676.0,0.0,0.0,0.0,458049.0
2026-05-27,218.0,27972.0,0.0,0.0,0.0,419595.0
2026-05-28,210.0,35701.0,0.0,0.0,0.0,527423.0
2026-05-29,637.0,24418.0,0.0,0.0,0.0,357496.0
2026-05-30,787.0,31029.0,0.0,0.0,0.0,450475.0
2026-05-31,66.0,39273.0,0.0,0.0,0.0,568741.0
2026-06-01,120.0,30400.0,0.0,0.0,0.0,438996.0
2026-06-02,527.0,31890.0,0.0,0.0,0.0,473516.0
2026-06-03,496.0,27535.0,0.0,0.0,0.0,402831.0
2026-06-04,177.0,31602.0,0.0,0.0,0.0,463701.0
2026-06-05,400.0,24058.0,0.0,0.0,0.0,363472.0
2026-06-06,588.0,35488.0,0.0,0.0,0.0,520804.0
2026-06-07,727.0,39658.0,0.0,0.0,0.0,591994.0
2026-06-08,452.0,30434.0,0.0,0.0,0.0,445640.0
2026-06-09,341.0,30324.0,0.0,0.0,0.0,448989.0
2026-06-10,308.0,23723.0,0.0,0.0,0.0,351769.0
2026-06-11,379.0,44843.0,0.0,0.0,0.0,665414.0
2026-06-12,810.0,23247.0,0.0,0.0,0.0,352011.0
2026-06-13,245.0,34404.0,0.0,0.0,0.0,491892.0
2026-06-14,524.0,39762.0,0.0,0.0,0.0,575132.0
2026-06-15,511.0,36583.0,0.0,0.0,0.0,555553.0
2026-06-16,335.0,35709.0,0.0,0.0,0.0,523246.0
2026-06-17,319.0,27186.0,0.0,0.0,0.0,396034.0
2026-06-18,360.0,34074.0,0.0,0.0,0.0,498156.0
2026-06-19,538.0,26173.0,0.0,0.0,0.0,391061.0
2026-06-20,410.0,39216.0,0.0,0.0,0.0,543916.0
2026-06-21,180.0,42937.0,0.0,0.0,0.0,603476.0
2026-06-22,600.0,31488.0,0.0,0.0,0.0,463691.0
2026-06-23,635.0,31924.0,0.0,0.0,0.0,449811.0
2026-06-24,649.0,30092.0,0.0,0.0,0.0,451866.0
2026-06-25,100.0,42344.0,0.0,0.0,0.0,622656.0
2026-06-26,1227.0,28057.0,0.0,0.0,0.0,429190.0
2026-06-27,580.0,34760.0,0.0,0.0,0.0,528877.0
2026-06-28,680.0,40766.0,0.0,0.0,0.0,580931.0
2026-06-29,0.0,17068.0,0.0,0.0,0.0,234229.0
