business_date,gross_sales,discount,discount_percentage
2026-05-01,418268.5,28744.670000000053,6.87
2026-05-02,413322.5,29673.120000000068,7.18
2026-05-03,490071.5,33860.51000000009,6.91
2026-05-04,385048.0,29748.710000000043,7.73
2026-05-05,530885.5,35367.72000000008,6.66
2026-05-06,307266.5,23001.000000000055,7.49
2026-05-07,439657.5,31092.25000000012,7.07
2026-05-08,319253.5,25268.610000000033,7.91
2026-05-09,480917.5,54070.09999999991,11.24
2026-05-10,586104.0,48217.36999999993,8.23
2026-05-11,396238.5,28952.06000000005,7.31
2026-05-12,505939.0,35817.02000000005,7.08
2026-05-13,408787.0,26723.740000000067,6.54
2026-05-14,459039.5,29853.31000000009,6.5
2026-05-15,325294.5,22046.940000000006,6.78
2026-05-16,492535.0,31483.660000000065,6.39
2026-05-17,532395.0,34611.55000000009,6.5
2026-05-18,394336.5,27316.42000000006,6.93
2026-05-19,468227.5,33205.880000000114,7.09
2026-05-20,335253.5,22941.470000000027,6.84
2026-05-21,474297.0,35110.89000000009,7.4
2026-05-22,345690.0,23216.140000000054,6.72
2026-05-23,504117.5,33018.10000000008,6.55
2026-05-24,538096.5,36995.83000000002,6.88
2026-05-25,424806.5,31337.690000000104,7.38
2026-05-26,437751.0,32630.860000000066,7.45
2026-05-27,400901.5,29042.320000000065,7.24
2026-05-28,507085.5,39961.10999999999,7.88
2026-05-29,338494.0,22598.180000000033,6.68
2026-05-30,429106.5,30883.590000000066,7.2
2026-05-31,541491.0,38372.37000000001,7.09
2026-06-01,419146.0,30421.130000000103,7.26
2026-06-02,452938.5,33228.75000000011,7.34
2026-06-03,386828.0,30438.0700000001,7.87
2026-06-04,442277.0,31678.200000000114,7.16
2026-06-05,348277.0,25051.810000000056,7.19
2026-06-06,497392.5,36059.00000000007,7.25
2026-06-07,564106.0,39759.25000000005,7.05
2026-06-08,422773.0,28363.210000000054,6.71
2026-06-09,428572.0,30609.120000000068,7.14
2026-06-10,335559.5,23971.020000000037,7.14
2026-06-11,634695.0,44828.56,7.06
2026-06-12,334475.5,22557.140000000014,6.74
2026-06-13,468915.5,34134.16000000008,7.28
2026-06-14,547243.0,38668.25000000005,7.07
2026-06-15,530672.0,37790.590000000084,7.12
2026-06-16,501907.0,38144.12000000004,7.6
2026-06-17,381138.5,30623.18000000007,8.03
2026-06-18,482377.0,41460.870000000046,8.6
2026-06-19,381519.0,34951.44000000003,9.16
2026-06-20,532829.5,53809.64999999987,10.1
2026-06-21,591645.5,58695.949999999866,9.92
2026-06-22,446855.0,36441.21000000007,8.16
2026-06-23,435052.5,38412.67000000002,8.83
2026-06-24,434000.0,33781.50000000005,7.78
2026-06-25,601693.0,49947.93999999993,8.3
2026-06-26,415429.0,35279.31000000007,8.49
2026-06-27,520904.0,51646.42999999994,9.91
2026-06-28,569975.0,57211.39999999987,10.04
2026-06-29,229150.0,22797.610000000015,9.95
